lang,name,glottocode,rate,rate_median
PintupiLuritja,PintupiLuritja,pint1250,2.284623141366958e-06,2.238935690681927e-06
Kukatja,Kukatja,kuka1246,1.5443152449000788e-06,1.5228250623402825e-06
Arabana,Arabana,arab1267,1.9211645181642432e-06,1.8064990069652173e-06
Wangkangurru,Wangkangurru,wang1290,2.181550299546013e-06,2.010179194323081e-06
KingsCreekandtheGeorginaRiver,KingsCreekandtheGeorginaRiver,pitt1247,2.3837891009576057e-06,2.277291976632146e-06
PittaPitta,PittaPitta,pitt1247,1.971528416078334e-06,1.8616184137775782e-06
RoxburghDowns_LowerGeorgina,RoxburghDowns-LowerGeorgina,pitt1247,2.271511693292067e-06,1.9972664385464162e-06
Wangkayutyuru,Wangkayutyuru,wang1289,2.5271996564601864e-06,2.35605436059433e-06
Badjiri,Badjiri,badj1244,1.991150250449781e-06,1.963760872255015e-06
Guwa,Guwa,guwa1242,2.6319156508996574e-06,2.4910164144674567e-06
Yanda,Yanda,yand1251,2.597237021631633e-06,2.4907112909348248e-06
CoopersCreek,CoopersCreek,,3.3090580748099926e-06,3.0894408513545575e-06
Yandruwandha,Yandruwandha,yand1253,1.4932200166858616e-06,1.4433060983417148e-06
Nhirrpi,Nhirrpi,nhir1234,2.842532457759876e-06,2.738943512402809e-06
Yawarrawarrka,Yawarrawarrka,yawa1258,1.724447394529809e-06,1.6820658717803195e-06
Karuwali,Karuwali,karr1236,3.5098866202784826e-06,3.322285313245416e-06
Mithaka,Mithaka,mith1236,1.6018942475736995e-06,1.528795606576599e-06
Diyari,Diyari,dier1241,1.3848121007482023e-06,1.326002504745053e-06
MountFreelingDiyari,MountFreelingDiyari,dier1241,3.511051258306897e-06,3.328264416752543e-06
Ngamini,Ngamini,ngam1265,1.8305728235337892e-06,1.7584212123866378e-06
Yarluyandi,Yarluyandi,yarl1238,1.9668983941007525e-06,1.8811271929496758e-06
Garlali,Garlali,kala1380,2.381055969322234e-06,2.3201315780844268e-06
Kungadutyi,Kungadutyi,ngur1261,1.88155734344212e-06,1.8160034708021736e-06
Punthamara,Punthamara,punt1240,1.9388715035984146e-06,1.8584253729035101e-06
Wangkumara,Wangkumara,wong1246,1.5476821475073841e-06,1.494391827640634e-06
