lang,lang_sister,cherry,n_loans,p_loans,glottocode,area,glottocode_1,glottocode_2,median_distance,mean_distance,mean_distance_water,median_distance_water,area_sister,median_distance_sister,median_distance_water_sister,n_loans_sister,p_loans_sister,area_ratio
Warlpiri,Warlmanpa,18,2,0.533333333333333,warl1254,537513,warl1254,warl1255,392.577,397.659,56825.751,53142.843,112634,175.201,48829.018,3,1.00334448160535,1.56280932181031
Warluwarra,Bularnu,98,3,1.03092783505155,warl1256,112883,warl1256,bula1255,133.359,155.373,18003.421,18217.206,45977,70.496,13075.659,4,1.46520146520147,0.898210612639805
Warnman,Kartujarra,23,1,0.286532951289398,wanm1242,119331,wanm1242,kart1247,115.098,119.099,78002.278,64963.785,170951,196.887,51685.898,3,0.890207715133531,-0.359475821263044
Warriyangga,Jiwarli,10,1,0.314465408805031,wari1262,25418,wari1262,djiw1241,86.719,83.838,29377.182,16341.259,57366,172.944,43985.693,1,0.290697674418605,-0.813994208871485
Watjuk,NewNorciaandLeschenaultBay,8,0,0,nyun1247,23977,nyun1247,nyun1247,775.37,776.564,10575.415,6417.233,45152,928.719,5756.116,0,0,-0.63293953815077
WesternArrarnta,CentralAnmatyerr,4,5,2.10970464135021,west2441,150376,west2441,anma1239,212.85,207.971,132565.511,146495.429,84818,108.864,33287.382,4,2.01005025125628,0.572631039890341
Wiradjuri,Ngiyambaa,77,2,0.520833333333333,wira1262,211459,wira1262,wang1291,160.521,168.302,7654.634,5519.815,112944,97.548,15240.488,1,0.294117647058824,0.627139005613316
Wulguru,Coonambella,58,1,0.350877192982456,wulg1239,10950,wulg1239,wulg1239,1,0,38067.336,32466.986,10950,1,32466.986,1,0.409836065573771,0
YabulaYabula,YortaYorta,97,0,0,yort1237,8905,yort1237,yort1237,39.581,40.345,4922.893,3714.059,10098,57.19,1624.054,0,0,-0.125724467695099
Yadhaykenu,Injinoo,43,0,0,yadh1237,10325,yadh1237,angg1238,62.13,60.239,11668.879,5755.918,2198,32.369,1339.816,0,0,1.54702028286567
Yagara,Janday,81,0,0,yaga1256,10511,yaga1256,jand1248,85.81,87.266,2588.47,1739.581,869,11.33,1164.981,0,0,2.49283448155796
Yalarnnga,Kalkatungu,62,4,1.2987012987013,yala1262,47024,yala1262,kalk1246,106.622,110.189,25389.973,19012.28,72043,119.514,21183.063,0,0,-0.426605053295497
Yanda,Guwa,27,5,4.71698113207547,yand1251,32768,yand1251,guwa1242,105.03,103.431,33961.076,30576.838,57738,131.274,16634.439,5,2.84090909090909,-0.566463106185276
Yardliyawarra,Wadikali,35,2,2.94117647058824,yarl1236,39650,yarl1236,yarl1236,308.567,298.537,44160.812,34710.667,33368,227.417,3004.969,1,1.72413793103448,0.172493591186213
Yarluyandi,Ngamini,30,2,0.873362445414847,yarl1238,25614,yarl1238,ngam1265,59.701,60.469,3581.439,2079.203,39396,97.694,4557.498,4,1.06666666666667,-0.430525211303576
Yaygirr,Gumbaynggir,87,1,0.373134328358209,yayg1236,3909,yayg1236,kumb1268,26.534,30.131,2046.099,1136.671,14172,61.523,1145.4,1,0.328947368421053,-1.28798660019241
Yidiny,Djabugay,48,2,0.649350649350649,yidi1250,4029,yidi1250,dyaa1242,35.529,35.483,4184.473,3872.185,4395,48.488,4684.416,2,0.518134715025907,-0.0869493249279301
Yindjibarndi,Kurrama,13,4,1.08108108108108,yind1247,75170,yind1247,kurr1243,112.71,117.325,28346.799,26768.636,18699,38.966,56151.595,0,0,1.39128216869455
Yindjilandji,Wakaya,99,0,0,yind1248,30855,yind1248,waga1260,84,85.949,15608.596,15769.978,125791,169.011,14755.431,1,0.289855072463768,-1.40532298780368
Yinhawangka,Panyjima,14,2,0.60790273556231,pany1241,47824,pany1241,pany1241,93.139,89.302,84105.746,77264.13,91747,129.358,27706.923,0,0,-0.651507183310837
Yiningay,Wadjabangayi,55,1,0.900900900900901,bidy1243,81354,bidy1243,bidy1243,202.977,197.127,10954.672,8873.948,22670,109.222,21443.065,0,0,1.27776753818879
YirYoront,KuukThaayorre,46,1,0.302114803625378,yiry1245,4311,yiry1245,thay1249,19.35,20.832,1563.753,950.328,2837,14.616,61.2,0,0,0.418422739938283
YithaYitha,Keramin,89,0,0,yith1234,9126,yith1234,nort2756,194.122,190.204,7138.37,5343.873,10567,182.439,3629.612,0,0,-0.146608454953683
YortaYorta,YabulaYabula,97,0,0,yort1237,10098,yort1237,yort1237,57.19,57.191,2431.695,1624.054,8905,39.581,3714.059,0,0,0.125724467695099
