name,fid,tessellate,extrude,visibility,layer,path,description,family,dialect,auxiliary_storage_labeling_show
Dhurga,173,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,,,,
Gandangara,174,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,,,,
Djirringany,175,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,,,,
Nyulnyul,176,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,,NonPNy,,
Kalaw Kawaw Ya,177,1,0,-1,Western Torres,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Torres,,,,
Nimanburu,178,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,,NonPNy,,
Jawi,179,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,,NonPNy,,
Bardi,180,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,,NonPNy,,
Jabirrjabirr,181,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,,NonPNy,,
Umiida,182,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,,NonPNy,,
Unggumi,183,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,,NonPNy,,
Yawijibaya,184,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,,NonPNy,,
Worrorra,185,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,,NonPNy,,
Kwini,186,1,0,-1,Wunambalic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wunambalic,,NonPNy,,
Unggarranggu,187,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,,NonPNy,,
Gamberre,188,1,0,-1,Wunambalic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wunambalic,,NonPNy,,
Wunambal,189,1,0,-1,Wunambalic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wunambalic,,NonPNy,,
Muluriji,191,1,0,-1,Yalanjic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yalanjic,,,,
Jardwadjali,192,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,,,y,
Tjapwurrung,193,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,,,y,
Djadjawurung,194,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,,,,
MathiMathi,196,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,,,,
