language_id,glottocode,glottolog_name,polygon_file,polygon_name,fuzzy_score,polygon_group
Thurrawal,thur1254,Thurawal,,,(77 for Thawa),
Tjapwurrung,west2443,Western Victoria,AustralianPolygons.kml,Tjapwurrung,100,
TweedRiverandPointDangar,yuga1244,Yugambal,AustralianPolygons.kml,Yugambal,100,
Umpila,umpi1239,Umpila,AustralianPolygons.kml,Umpila,100,
Umpithamu,umbi1243,Umbindhamu,AustralianPolygons.kml,Umpithamu,100,
UpperBrisbaneRiver,waka1274,Wakawaka,AustralianPolygons.kml,WakaWaka,100,
UpperParoo,bidy1243,Bidyara,AustralianPolygons.kml,Bidjara,86,
Uradhi,wuth1237,Wuthathi,AustralianPolygons.kml,Uradhi,100,
UwOykangand,oyka1239,Oykangand,AustralianPolygons.kml,Uw Oykangand,86,
Wadikali,yarl1236,Yarli,AustralianPolygons.kml,Wadikali,100,
Wadjabangayi,bidy1243,Bidyara,AustralianPolygons.kml,Wadjabangayi,100,
Wailwan,wayi1238,Wayilwan,AustralianPolygons.kml,Wailwan,100,
Wajarri,waja1257,Wajarri,AustralianPolygons.kml,Wajarri,100,
WakaWaka,waka1274,Wakawaka,AustralianPolygons.kml,WakaWaka,100,
Wakaya,waga1260,Wagaya,AustralianPolygons.kml,Wakaya,100,
Walangama,wala1263,Walangama,AustralianPolygons.kml,Walangama,100,
WalmajarriBilliluna,walm1241,Walmajarri-Juwaliny,,,(69 for Walmajarri),
WalmajarriHR,walm1241,Walmajarri-Juwaliny,AustralianPolygons.kml,Walmajarri,91,
WalmajarriNW,walm1241,Walmajarri-Juwaliny,AustralianPolygons.kml,Walmajarri,91,
Wanamara,wunu1234,Wunumara,AustralianPolygons.kml,Wanamara,100,
Wangkajunga,wang1288,Wangkajunga,AustralianPolygons.kml,Wangkajunga,100,
Wangkangurru,wang1290,Wangganguru,AustralianPolygons.kml,Wangkangurru,100,
Wangkatja,pint1251,Pintiini,,,(62 for Thiin),
Wangkayutyuru,wang1289,Wanggamala,AustralianPolygons.kml,Wangkayutyuru,100,
Wangkumara,wong1246,Wangkumara,AustralianPolygons.kml,Wangkumara,100,
WangkumaraMcDWur,wong1246,Wangkumara,AustralianPolygons.kml,Wangkumara,100,
Wardandi,nyun1247,Nyunga,AustralianPolygons.kml,Wardandi,100,
Wargamay,warr1255,Warrgamay,AustralianPolygons.kml,Warrgamay,94,
Warlmanpa,warl1255,Warlmanpa,AustralianPolygons.kml,Warlmanpa,100,
Warlpiri,warl1254,Warlpiri,AustralianPolygons.kml,Warlpiri,100,
Warluwarra,warl1256,Warluwara,AustralianPolygons.kml,Warluwarra,100,
