name,fid,tessellate,extrude,visibility,layer,path,description
YabulaYabula,168,1,0,-1,Yotayotic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yotayotic,
Ngarigu,169,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,
Thawa,170,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,
Dharawal,171,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,
Ngunawal,172,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,
Dhurga,173,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,
Gundungurra,174,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,
Djirringany,175,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,
Nyulnyul,176,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,
Kalaw Kawaw Ya,177,1,0,-1,Western Torres,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Torres,
Nimanburu,178,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,
Jawi,179,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,
Bardi,180,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,
Jabirrjabirr,181,1,0,-1,WesternNyulnyulan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=WesternNyulnyulan,
Umiida,182,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,
Unggumi,183,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,
Yawijibaya,184,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,
Worrorra,185,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,
Kwini,186,1,0,-1,Wunambalic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wunambalic,
Unggarranggu,187,1,0,-1,Worrorric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Worrorric,
Gamberre,188,1,0,-1,Wunambalic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wunambalic,
Wunambal,189,1,0,-1,Wunambalic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wunambalic,
Muluriji,191,1,0,-1,Yalanjic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yalanjic,
Jardwadjali,192,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
Tjapwurrung,193,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
Djadjawurung,194,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
Baraba Baraba,195,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
MathiMathi,196,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
Nari Nari,197,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
WathiWathi,198,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,"Wadi wadi (Not to be confused with Wodi Wodi, which is a Yuin-Kuri language)"
Warrnambool,199,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
Wotjobaluk,200,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
Wemba Wemba,201,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
Ngaliwuru,202,1,0,-1,Western Mirndi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Mirndi,
Yari-Yari,203,1,0,-1,Western Kulin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Kulin,
Jaminjung,204,1,0,-1,Western Mirndi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Mirndi,
Nungali,205,1,0,-1,Western Mirndi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western Mirndi,
